Date,Open,High,Low,Close*,Adj Close**,Volume
"Dec 13, 2022","18,524.40","18,617.25","18,490.20","18,608.00","18,608.00","1,87,600"
"Dec 12, 2022","18,402.15","18,521.55","18,345.70","18,497.15","18,497.15","1,93,900"
"Dec 09, 2022","18,662.40","18,664.70","18,410.10","18,496.60","18,496.60","2,15,800"
"Dec 08, 2022","18,570.85","18,625.00","18,536.95","18,609.35","18,609.35","2,02,800"
"Dec 07, 2022","18,638.85","18,668.30","18,528.40","18,560.50","18,560.50","2,00,500"
"Dec 06, 2022","18,600.65","18,654.90","18,577.90","18,642.75","18,642.75","2,17,800"
"Dec 05, 2022","18,719.55","18,728.60","18,591.35","18,701.05","18,701.05","2,88,400"
"Dec 02, 2022","18,752.40","18,781.95","18,639.20","18,696.10","18,696.10","2,54,400"
"Dec 01, 2022","18,871.95","18,887.60","18,778.20","18,812.50","18,812.50","3,25,000"
"Nov 30, 2022","18,625.70","18,816.05","18,616.55","18,758.35","18,758.35","3,45,600"
"Nov 29, 2022","18,552.45","18,678.10","18,552.15","18,618.05","18,618.05","1,95,300"
"Nov 28, 2022","18,430.55","18,614.25","18,365.60","18,562.75","18,562.75","2,06,500"
"Nov 25, 2022","18,528.45","18,534.90","18,445.10","18,512.75","18,512.75","2,05,900"
"Nov 24, 2022","18,326.10","18,529.70","18,294.25","18,484.10","18,484.10","2,04,000"
"Nov 23, 2022","18,325.20","18,325.40","18,246.00","18,267.25","18,267.25","1,78,800"
"Nov 22, 2022","18,179.15","18,261.85","18,137.70","18,244.20","18,244.20","1,77,700"
"Nov 21, 2022","18,246.40","18,262.30","18,133.35","18,159.95","18,159.95","2,13,800"
"Nov 18, 2022","18,382.95","18,394.60","18,209.80","18,307.65","18,307.65","1,98,800"
"Nov 17, 2022","18,358.70","18,417.60","18,312.95","18,343.90","18,343.90","2,00,500"
"Nov 16, 2022","18,398.25","18,442.15","18,344.15","18,409.65","18,409.65","2,19,300"
"Nov 15, 2022","18,362.75","18,427.95","18,282.00","18,403.40","18,403.40","2,50,900"
"Nov 14, 2022","18,376.40","18,399.45","18,311.40","18,329.15","18,329.15","3,01,400"
"Nov 11, 2022","18,272.35","18,362.30","18,259.35","18,349.70","18,349.70","3,78,500"
"Nov 10, 2022","18,044.35","18,103.10","17,969.40","18,028.20","18,028.20","2,56,500"
"Nov 09, 2022","18,288.25","18,296.40","18,117.50","18,157.00","18,157.00","3,07,200"
"Nov 07, 2022","18,211.75","18,255.50","18,064.75","18,202.80","18,202.80","3,14,800"
"Nov 04, 2022","18,053.40","18,135.10","18,017.15","18,117.15","18,117.15","2,67,900"
"Nov 03, 2022","17,968.35","18,106.30","17,959.20","18,052.70","18,052.70","2,13,000"
"Nov 02, 2022","18,177.90","18,178.75","18,048.65","18,082.85","18,082.85","2,70,900"
"Nov 01, 2022","18,130.70","18,175.80","18,060.15","18,145.40","18,145.40","3,49,900"
"Oct 31, 2022","17,910.20","18,022.80","17,899.90","18,012.20","18,012.20","2,27,200"
"Oct 28, 2022","17,756.40","17,838.90","17,723.70","17,786.80","17,786.80","2,50,000"
"Oct 27, 2022","17,771.40","17,783.90","17,654.50","17,736.95","17,736.95","3,24,600"
"Oct 25, 2022","17,808.30","17,811.50","17,637.00","17,656.35","17,656.35","2,51,400"
"Oct 24, 2022","17,736.35","17,777.55","17,707.40","17,730.75","17,730.75","45,000"
"Oct 21, 2022","17,622.85","17,670.15","17,520.75","17,576.30","17,576.30","2,77,700"
"Oct 20, 2022","17,423.10","17,584.15","17,421.00","17,563.95","17,563.95","2,49,600"
"Oct 19, 2022","17,568.15","17,607.60","17,472.85","17,512.25","17,512.25","2,10,500"
"Oct 18, 2022","17,438.75","17,527.80","17,434.05","17,486.95","17,486.95","2,39,500"
"Oct 17, 2022","17,144.80","17,328.55","17,098.55","17,311.80","17,311.80","2,12,200"
"Oct 14, 2022","17,322.30","17,348.55","17,169.75","17,185.70","17,185.70","2,27,000"
"Oct 13, 2022","17,087.35","17,112.35","16,956.95","17,014.35","17,014.35","2,66,400"
"Oct 12, 2022","17,025.55","17,142.35","16,960.05","17,123.60","17,123.60","2,56,000"
"Oct 11, 2022","17,256.05","17,261.80","16,950.30","16,983.55","16,983.55","2,82,600"
"Oct 10, 2022","17,094.35","17,280.15","17,064.70","17,241.00","17,241.00","2,34,000"
"Oct 07, 2022","17,287.20","17,337.35","17,216.95","17,314.65","17,314.65","2,16,300"
"Oct 06, 2022","17,379.25","17,428.80","17,315.65","17,331.80","17,331.80","2,65,500"
"Oct 04, 2022","17,147.45","17,287.30","17,117.30","17,274.30","17,274.30","2,26,000"
"Oct 03, 2022","17,102.10","17,114.65","16,855.55","16,887.35","16,887.35","2,78,400"
"Sep 30, 2022","16,798.05","17,187.10","16,747.70","17,094.35","17,094.35","3,76,100"
"Sep 29, 2022","16,993.60","17,026.05","16,788.60","16,818.10","16,818.10","3,40,000"
"Sep 28, 2022","16,870.55","17,037.60","16,820.40","16,858.60","16,858.60","3,23,900"
"Sep 27, 2022","17,110.90","17,176.45","16,942.35","17,007.40","17,007.40","3,59,900"
"Sep 26, 2022","17,156.30","17,196.40","16,978.30","17,016.30","17,016.30","4,92,000"
"Sep 23, 2022","17,593.85","17,642.15","17,291.65","17,327.35","17,327.35","3,90,800"
"Sep 22, 2022","17,609.65","17,722.75","17,532.45","17,629.80","17,629.80","2,84,100"
"Sep 21, 2022","17,766.35","17,838.70","17,663.60","17,718.35","17,718.35","2,45,500"
"Sep 20, 2022","17,770.40","17,919.30","17,744.40","17,816.25","17,816.25","2,63,100"
"Sep 19, 2022","17,540.65","17,667.20","17,429.70","17,622.25","17,622.25","2,58,300"
"Sep 16, 2022","17,796.80","17,820.05","17,497.25","17,530.85","17,530.85","4,68,500"
"Sep 15, 2022","18,046.35","18,096.15","17,861.50","17,877.40","17,877.40","2,89,600"
"Sep 14, 2022","17,771.15","18,091.55","17,771.15","18,003.75","18,003.75","3,65,900"
"Sep 13, 2022","18,044.45","18,088.30","18,015.45","18,070.05","18,070.05","2,59,900"
"Sep 12, 2022","17,890.85","17,980.55","17,889.15","17,936.35","17,936.35","2,28,200"
"Sep 09, 2022","17,923.35","17,925.95","17,786.00","17,833.35","17,833.35","2,70,300"
"Sep 08, 2022","17,748.15","17,807.65","17,691.95","17,798.75","17,798.75","2,79,800"
"Sep 07, 2022","17,519.40","17,650.75","17,484.30","17,624.40","17,624.40","3,54,100"
"Sep 06, 2022","17,695.70","17,764.65","17,587.65","17,655.60","17,655.60","2,51,200"
"Sep 05, 2022","17,546.45","17,683.15","17,540.35","17,665.80","17,665.80","2,30,300"
"Sep 02, 2022","17,598.40","17,643.85","17,476.45","17,539.45","17,539.45","2,56,300"
"Sep 01, 2022","17,485.70","17,695.60","17,468.45","17,542.80","17,542.80","3,08,500"
"Aug 30, 2022","17,414.95","17,777.65","17,401.50","17,759.30","17,759.30","3,24,700"
"Aug 29, 2022","17,188.65","17,380.15","17,166.20","17,312.90","17,312.90","2,44,900"
"Aug 26, 2022","17,619.30","17,685.85","17,519.35","17,558.90","17,558.90","2,66,600"
"Aug 25, 2022","17,679.00","17,726.50","17,487.45","17,522.45","17,522.45","2,30,200"
"Aug 24, 2022","17,525.45","17,623.65","17,499.25","17,604.95","17,604.95","2,62,000"
"Aug 23, 2022","17,357.35","17,625.55","17,345.20","17,577.50","17,577.50","2,85,600"
"Aug 22, 2022","17,682.90","17,690.05","17,467.35","17,490.70","17,490.70","2,87,600"
"Aug 19, 2022","17,966.55","17,992.20","17,710.75","17,758.45","17,758.45","2,95,600"
"Aug 18, 2022","17,898.65","17,968.45","17,852.05","17,956.50","17,956.50","2,63,900"
"Aug 17, 2022","17,868.15","17,965.95","17,833.35","17,944.25","17,944.25","2,62,800"
"Aug 16, 2022","17,797.20","17,839.10","17,764.05","17,825.25","17,825.25",-
"Aug 12, 2022","17,659.65","17,724.65","17,597.85","17,698.15","17,698.15","3,03,900"
"Aug 11, 2022","17,711.65","17,719.30","17,631.95","17,659.00","17,659.00","3,11,200"
"Aug 10, 2022","17,566.10","17,566.10","17,442.80","17,534.75","17,534.75","3,12,700"
"Aug 08, 2022","17,401.50","17,548.80","17,359.75","17,525.10","17,525.10","2,57,000"
"Aug 05, 2022","17,423.65","17,474.40","17,348.75","17,397.50","17,397.50","3,55,300"
"Aug 04, 2022","17,463.10","17,490.70","17,161.25","17,382.00","17,382.00","3,25,000"
"Aug 03, 2022","17,349.25","17,407.50","17,225.85","17,388.15","17,388.15","2,85,400"
"Aug 02, 2022","17,310.15","17,390.15","17,215.85","17,345.45","17,345.45","3,33,600"
"Aug 01, 2022","17,243.20","17,356.25","17,154.80","17,340.05","17,340.05","3,81,500"
"Jul 29, 2022","17,079.50","17,172.80","17,018.15","17,158.25","17,158.25","4,36,100"
"Jul 28, 2022","16,774.85","16,947.65","16,746.25","16,929.60","16,929.60","3,76,300"
"Jul 27, 2022","16,475.35","16,653.45","16,438.75","16,641.80","16,641.80","1,85,200"
"Jul 26, 2022","16,632.90","16,636.10","16,463.30","16,483.85","16,483.85","2,08,200"
"Jul 25, 2022","16,662.55","16,706.05","16,564.25","16,631.00","16,631.00","2,11,400"
